Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage,Basic_characteristics
Alquiler de Piso en calle de l'Abadessa Olzet,4442.0,"Pedralbes, Barcelona",Profesional,4.0,148.0,exterior,1.0,1.0,Garage included,"148 m² construidos
4 habitaciones
3 baños
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Trastero
Construido en 2017
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
Alquiler de Piso en carretera de Collblanc,2330.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,124.0,exterior,8.0,1.0,Garage included,"124 m² construidos
3 habitaciones
2 baños
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Construido en 1987
Amueblado y cocina equipada
Calefacción central"
Alquiler de Piso en calle de Manuel Ballbè,7500.0,"Pedralbes, Barcelona",Profesional,5.0,300.0,exterior,7.0,1.0,Garage included,"300 m² construidos
5 habitaciones
4 baños
Balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Orientación sur, este
Construido en 1969
Amueblado y cocina equipada
Calefacción central: Gas"
Alquiler de Casa o chalet independiente en Pedralbes,7000.0,"Les Corts, Barcelona",Profesional,4.0,270.0,,,,,"Casa o chalet independiente
270 m² construidos
4 habitaciones
4 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación sur
Construido en 2024
Cocina equipada y casa sin amueblar
Calefacción individual"
Alquiler de Piso en La Maternitat i Sant Ramon,2100.0,"Les Corts, Barcelona",Profesional,4.0,90.0,exterior,4.0,1.0,,"90 m² construidos
4 habitaciones
2 baños
Terraza y balcón
Segunda mano/buen estado
Armarios empotrados
Trastero
Construido en 1976
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
Alquiler de Piso en Pedralbes,5866.0,"Les Corts, Barcelona",Profesional,4.0,220.0,exterior,,1.0,Garage included,"220 m² construidos
4 habitaciones
4 baños
Balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Construido en 1985
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Piso en calle del Capitán Arenas,5500.0,"Pedralbes, Barcelona",Profesional,5.0,232.0,exterior,,1.0,Garage included,"232 m² construidos
5 habitaciones
3 baños
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación norte, sur
Construido en 1983
Calefacción individual: Gas natural"
Alquiler de Piso en calle de Beltrán i Rózpide,2560.0,"Pedralbes, Barcelona",Profesional,2.0,80.0,exterior,10.0,1.0,,"80 m² construidos
2 habitaciones
1 baño
Balcón
Segunda mano/buen estado
Construido en 1974
Amueblado y cocina equipada
Calefacción central"
Alquiler de Piso en calle de Galileu,2100.0,"Les Corts, Barcelona",Profesional,3.0,77.0,exterior,Entreplanta,1.0,,"77 m² construidos, 66 m² útiles
3 habitaciones
2 baños
Segunda mano/buen estado
Construido en 1975
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Casa o chalet independiente en avenida de Pearson,24000.0,"Pedralbes, Barcelona",Profesional,7.0,700.0,,,,Garage included,"Casa o chalet independiente
3 plantas
700 m² construidos
7 habitaciones
7 baños
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Construido en 1966
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
Alquiler de Casa o chalet independiente en Pedralbes,7500.0,"Les Corts, Barcelona",Profesional,4.0,270.0,,,,,"Casa o chalet independiente
270 m² construidos
4 habitaciones
4 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación sur
Construido en 2024
Cocina equipada y casa sin amueblar
Calefacción individual"
Alquiler de Ático en paseo dels Til·lers,8900.0,"Pedralbes, Barcelona",Profesional,4.0,250.0,exterior,5.0,1.0,Garage included,"250 m² construidos
4 habitaciones
3 baños
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Orientación sur
Construido en 1970
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle de Loreto,3000.0,"Les Corts, Barcelona",Profesional,2.0,254.0,exterior,7.0,1.0,,"254 m² construidos, 150 m² útiles
2 habitaciones
1 baño
Terraza
Segunda mano/buen estado
Armarios empotrados
Orientación sur
Construido en 1960
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Piso en avenida de Pedralbes,4500.0,"Pedralbes, Barcelona",Profesional,3.0,210.0,exterior,1.0,1.0,Garage included,"210 m² construidos
3 habitaciones
2 baños
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Orientación este
Construido en 1966
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
Alquiler de Piso en Passatge de Planell s/n,4500.0,"Les Corts, Barcelona",Profesional,2.0,75.0,,,0.0,,"75 m² construidos
2 habitaciones
1 baño
Segunda mano/buen estado
Orientación sur
Construido en 1990
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle del Capitán Arenas,5500.0,"Pedralbes, Barcelona",Profesional,5.0,232.0,exterior,6.0,1.0,Garage included,"232 m² construidos
5 habitaciones
3 baños
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación norte, sur
Construido en 1983
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
Alquiler de Piso en Joan Obiols,1800.0,"Pedralbes, Barcelona",Profesional,2.0,65.0,exterior,1.0,1.0,,"65 m² construidos, 61 m² útiles
2 habitaciones
2 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Orientación sur, este
Construido en 1987
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
"Alquiler de Piso en Passatge de Planell, 1",4500.0,"Les Corts, Barcelona",Profesional,2.0,75.0,,,0.0,,"75 m² construidos
2 habitaciones
1 baño
Segunda mano/buen estado
Orientación sur
Construido en 1990
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle del Pintor Tapiró,2400.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,4.0,126.0,exterior,10.0,1.0,,"126 m² construidos
4 habitaciones
2 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Orientación sur
Construido en 1979
Amueblado y cocina equipada"
Alquiler de Casa o chalet independiente en ronda de Dalt,16000.0,"Pedralbes, Barcelona",Profesional,5.0,511.0,,,,Garage included,"Casa o chalet independiente
511 m² construidos
5 habitaciones
4 baños
Parcela de 985 m²
Balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación sur
Construido en 1958
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle de gonzález tablas,2400.0,"Pedralbes, Barcelona",Profesional,4.0,140.0,exterior,3.0,1.0,Garage included,"140 m² construidos, 135 m² útiles
4 habitaciones
2 baños
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Orientación norte, sur, oeste
Construido en 1976
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Casa o chalet independiente en calle de l'Abadessa Olzet,16000.0,"Pedralbes, Barcelona",Profesional,4.0,511.0,,,,Garage included,"Casa o chalet independiente
511 m² construidos, 375 m² útiles
4 habitaciones
4 baños
Parcela de 985 m²
Balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación sur
Construido en 1958
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en Pedralbes,7500.0,"Les Corts, Barcelona",Profesional,5.0,266.0,exterior,7.0,1.0,Garage included,"266 m² construidos
5 habitaciones
4 baños
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Construido en 1969
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle de l'Aviació,2395.0,"Les Corts, Barcelona",Profesional,4.0,100.0,exterior,3.0,1.0,,"100 m² construidos, 90 m² útiles
4 habitaciones
2 baños
Segunda mano/buen estado
Orientación norte
Amueblado y cocina equipada
Calefacción individual"
"Alquiler de Piso en calle de Bordeus, 27",1998.0,"Les Corts, Barcelona",Profesional,1.0,40.0,exterior,Bajo,1.0,,"40 m² construidos
1 habitación
1 baño
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción central"
Alquiler de Piso en carretera de Collblanc,1950.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,75.0,exterior,2.0,1.0,,"75 m² construidos
3 habitaciones
1 baño
Segunda mano/buen estado
Orientación norte
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Piso en plaza del Doctor Ignasi Barraquer,1400.0,"Les Corts, Barcelona",Profesional,1.0,50.0,exterior,,1.0,,"50 m² construidos
1 habitación
1 baño
Segunda mano/buen estado
Construido en 1960
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Piso en calle de Morales,3955.0,"Les Corts, Barcelona",Profesional,2.0,84.0,exterior,1.0,1.0,,"84 m² construidos
2 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle de Morales,3320.0,"Les Corts, Barcelona",Profesional,2.0,67.0,exterior,2.0,1.0,,"67 m² construidos
2 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle de Morales,4240.0,"Les Corts, Barcelona",Profesional,3.0,84.0,exterior,2.0,1.0,,"84 m² construidos
3 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada"
Alquiler de Piso en calle de Morales,3095.0,"Les Corts, Barcelona",Profesional,1.0,61.0,exterior,2.0,1.0,,"61 m² construidos
1 habitación
1 baño
Terraza
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Dúplex en calle de Morales,3805.0,"Les Corts, Barcelona",Profesional,3.0,127.0,exterior,Bajo,1.0,,"127 m² construidos
3 habitaciones
2 baños
Terraza y balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle de Guitard,2845.0,"Les Corts, Barcelona",Profesional,3.0,64.0,exterior,2.0,1.0,,"64 m² construidos
3 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle de Morales,3100.0,"Les Corts, Barcelona",Profesional,2.0,89.0,exterior,2.0,1.0,,"89 m² construidos
2 habitaciones
1 baño
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle de Manila,3010.0,"Pedralbes, Barcelona",Profesional,1.0,75.0,interior,Entreplanta,1.0,,"75 m² construidos
1 habitación
1 baño
Terraza
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle de Morales,3970.0,"Les Corts, Barcelona",Profesional,3.0,96.0,exterior,2.0,1.0,,"96 m² construidos
3 habitaciones
2 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en Les Corts,1800.0,"Les Corts, Barcelona",Profesional,2.0,76.0,exterior,2.0,1.0,Garage optional,"76 m² construidos
2 habitaciones
1 baño
Terraza
Plaza de garaje por 200 €/mes adicionales
Segunda mano/buen estado
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Dúplex en calle de Morales,4875.0,"Les Corts, Barcelona",Profesional,3.0,135.0,exterior,Bajo,1.0,,"135 m² construidos
3 habitaciones
3 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle de Loreto,2625.0,"Les Corts, Barcelona",Profesional,2.0,74.0,exterior,4.0,1.0,,"74 m² construidos
2 habitaciones
2 baños
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en avenida de Madrid,2425.0,"Les Corts, Barcelona",Profesional,3.0,91.0,exterior,6.0,1.0,,"91 m² construidos
3 habitaciones
2 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle de Morales,5630.0,"Les Corts, Barcelona",Profesional,3.0,110.0,exterior,Bajo,1.0,,"110 m² construidos
3 habitaciones
3 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
"Alquiler de Piso en calle de Numància, 84",2100.0,"Les Corts, Barcelona",Profesional,3.0,88.0,exterior,2.0,1.0,,"88 m² construidos, 87 m² útiles
3 habitaciones
2 baños
Terraza y balcón
Segunda mano/buen estado
Armarios empotrados
Orientación sur, este
Amueblado y cocina equipada
Calefacción individual: Gas natural"
"Alquiler de Piso en calle del Capitán Arenas, 3",5500.0,"Pedralbes, Barcelona",Profesional,5.0,232.0,exterior,6.0,1.0,Garage included,"232 m² construidos
5 habitaciones
3 baños
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación norte, sur
Construido en 1983
Cocina sin equipar y casa sin amueblar
Calefacción individual: Gas natural"
Alquiler de Piso en avenida Diagonal,3500.0,"Pedralbes, Barcelona",Profesional,5.0,177.0,exterior,6.0,1.0,,"177 m² construidos, 156 m² útiles
5 habitaciones
3 baños
Terraza y balcón
Segunda mano/buen estado
Armarios empotrados
Orientación sur
Construido en 1972
Amueblado y cocina equipada
Calefacción central: Gas"
Alquiler de Piso en Passatge d'Albert Pinyol,1250.0,"Les Corts, Barcelona",Profesional,1.0,45.0,exterior,1.0,1.0,,"45 m² construidos
1 habitación
1 baño
Segunda mano/buen estado
Armarios empotrados
No dispone de calefacción"
"Alquiler de Piso en calle de Bordeus, 27",2295.0,"Les Corts, Barcelona",Profesional,2.0,61.0,exterior,4.0,1.0,,"61 m² construidos
2 habitaciones
1 baño
Terraza y balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción central"
Alquiler de Piso en calle de Déu i Mata,2195.0,"Les Corts, Barcelona",Profesional,2.0,140.0,exterior,4.0,1.0,,"140 m² construidos, 135 m² útiles
2 habitaciones
2 baños
Segunda mano/buen estado
Amueblado y cocina equipada
Calefacción central"
Alquiler de Piso en travesía de les Corts,3450.0,"Les Corts, Barcelona",Profesional,3.0,120.0,exterior,7.0,1.0,,"120 m² construidos, 100 m² útiles
3 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación norte, este
Construido en 1960
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Casa o chalet independiente en calle dels Cavallers,12900.0,"Pedralbes, Barcelona",Profesional,6.0,584.0,,,,Garage included,"Casa o chalet independiente
1 planta
584 m² construidos, 507 m² útiles
6 habitaciones
5 baños
Parcela de 1.033 m²
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Trastero
Orientación sur
Construido en 1995
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Ático en avenida de Pedralbes,17000.0,"Pedralbes, Barcelona",Profesional,5.0,500.0,exterior,1.0,0.0,Garage included,"500 m² construidos
5 habitaciones
6 baños
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Orientación sur
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
Alquiler de Casa o chalet independiente en calle de l'Abadessa Olzet,16000.0,"Pedralbes, Barcelona",Profesional,5.0,511.0,,,,Garage included,"Casa o chalet independiente
1 planta
511 m² construidos, 460 m² útiles
5 habitaciones
5 baños
Parcela de 985 m²
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Construido en 1958
Cocina sin equipar y casa sin amueblar
No dispone de calefacción"
Alquiler de Piso en Gran Via de Carles III,3750.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,4.0,111.0,exterior,1.0,1.0,,"111 m² construidos, 99 m² útiles
4 habitaciones
2 baños
Terraza
Segunda mano/buen estado
Orientación sur
Construido en 1966
Amueblado y cocina equipada
Calefacción central"
Alquiler de Ático en calle Benavent,1700.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,111.0,exterior,7.0,1.0,,"111 m² construidos, 86 m² útiles
3 habitaciones
2 baños
Terraza
Segunda mano/buen estado
Orientación norte, este
Construido en 1978
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
Alquiler de Piso en travesía de les Corts,4350.0,"Les Corts, Barcelona",Profesional,3.0,120.0,exterior,12.0,1.0,,"120 m² construidos, 100 m² útiles
3 habitaciones
2 baños
Terraza y balcón
Segunda mano/buen estado
Armarios empotrados
Orientación norte, este
Construido en 1960
Amueblado y cocina equipada
Calefacción individual"
"Alquiler de Piso en calle de Joan Güell, 145",1600.0,"Les Corts, Barcelona",Profesional,3.0,82.0,exterior,6.0,1.0,,"82 m² construidos
3 habitaciones
1 baño
Segunda mano/buen estado
Amueblado y cocina equipada"
Alquiler de Piso en calle d'Agustina Saragossa,2700.0,"Les Corts, Barcelona",Profesional,3.0,156.0,exterior,5.0,1.0,Garage included,"156 m² construidos
3 habitaciones
2 baños
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Construido en 1987
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle de Manila,2600.0,"Pedralbes, Barcelona",Profesional,3.0,93.0,exterior,8.0,1.0,,"93 m² construidos
3 habitaciones
2 baños
Segunda mano/buen estado
Construido en 1956
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle de Galileu,1750.0,"Les Corts, Barcelona",Profesional,2.0,46.0,exterior,Entreplanta,1.0,,"46 m² construidos, 40 m² útiles
2 habitaciones
1 baño
Segunda mano/buen estado
Orientación oeste
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
"Alquiler de Piso en calle de Bordeus, 27",2295.0,"Les Corts, Barcelona",Profesional,2.0,65.0,exterior,2.0,1.0,,"65 m² construidos
2 habitaciones
1 baño
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción central"
Alquiler de Chalet pareado en paseo dels Til·lers,7500.0,"Pedralbes, Barcelona",Profesional,4.0,360.0,,,,Garage included,"Chalet pareado
5 plantas
360 m² construidos, 253 m² útiles
4 habitaciones
4 baños
Parcela de 175 m²
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación norte, sur, este, oeste
Construido en 1988
Amueblado y cocina equipada
Calefacción individual: Gas natural"
"Alquiler de Piso en calle de Bordeus, 27",2565.0,"Les Corts, Barcelona",Profesional,1.0,90.0,interior,Bajo,1.0,,"90 m² construidos
1 habitación
1 baño
Terraza
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción central"
Alquiler de Ático en calle de Numància,3350.0,"Les Corts, Barcelona",Profesional,5.0,185.0,exterior,13.0,1.0,Garage included,"185 m² construidos, 160 m² útiles
5 habitaciones
2 baños
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Orientación sur
Construido en 1970
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Ático en avenida de Madrid,2650.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,105.0,exterior,8.0,1.0,Garage optional,"105 m² construidos, 100 m² útiles
3 habitaciones
2 baños
Terraza
Plaza de garaje por 120 €/mes adicionales
Segunda mano/buen estado
Armarios empotrados
Orientación norte, sur, oeste
Construido en 1980
Amueblado y cocina equipada
Calefacción individual: Gas natural"
"Alquiler de Piso en C/Plaza Comas, 14",1600.0,"Les Corts, Barcelona",Profesional,3.0,70.0,interior,6.0,1.0,,"70 m² construidos, 68 m² útiles
3 habitaciones
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación norte
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
"Alquiler de Piso en calle de l'Alfambra, 18",1990.0,"Pedralbes, Barcelona",Profesional,2.0,71.0,exterior,5.0,1.0,,"71 m² construidos, 70 m² útiles
2 habitaciones
2 baños
Terraza
Segunda mano/buen estado
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
"Alquiler de Estudio en calle de Joan Gamper, 22",1090.0,"Les Corts, Barcelona",Profesional,,30.0,exterior,1.0,1.0,,"30 m² construidos, 29 m² útiles
Sin habitación
1 baño
Segunda mano/buen estado
Amueblado y cocina equipada
Calefacción individual"
"Alquiler de Piso en calle de Joan Gamper, 22",1390.0,"Les Corts, Barcelona",Profesional,1.0,43.0,exterior,1.0,1.0,,"43 m² construidos, 42 m² útiles
1 habitación
1 baño
Terraza
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Dúplex en calle dels Cavallers,8500.0,"Pedralbes, Barcelona",Profesional,5.0,290.0,exterior,Bajo,1.0,Garage included,"290 m² construidos
5 habitaciones
4 baños
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación sur, este, oeste
Cocina equipada y casa sin amueblar
Calefacción individual: Gas natural"
